"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.6","1230","1237","16301","16301","16301","True","-0.4","none","81.2","8.43","91.84","47.2","48","97.1","70.41","True","10.787","8.669","8.817","0.148","3929017407380.315","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1395","1391.8","1387","1395","16301","16301","16301","True","-3.2","none","85.56","20.92","95.42","47.3","48","94.9","73.6","True","10.225","8.1287","8.2795","0.1507","4190172163551.1714","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004"
"1545","1537","1537","1537","15194.5","810","16301","True","-8","none","83.47","7.3","99.39","47.4","49","92.9","71.95","True","9.665","7.6093","7.7118","0.1026","4476201817538.489","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","98.24","12.66","111.57","49.1","50","95.5","82.36","True","9.126","7.1872","7.2922","0.1051","4739111039062.913","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000004"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","107.41","8.94","123.07","50.2","52","95.1","90.61","True","9.146","6.9454","7.0393","0.0939","4904059582869.447","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15109.4","810","16301","True","-8","none","109.89","8.71","134.93","51.2","53","92.3","93.34","True","9.15","6.9164","7.015","0.0985","4924609906961.832","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2167","2144.4","2137","2145","16301","16301","16301","True","-22.6","none","117.42","17.55","134.15","52","54","94.2","98.78","True","9.166","6.9655","7.0705","0.105","4889926877360.661","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2317","2269.8","2257","2272","15109.4","810","16301","False","-47.2","below","114.93","8.33","134.72","51.9","54","92.3","97.25","True","9.143","6.9738","7.0665","0.0927","4884130768007.155","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2475","2438.9","2430","2460","15109.4","810","16301","False","-36.1","below","118.56","9.16","135.94","52.1","54","88.4","100.16","True","9.138","6.9797","7.0874","0.1077","4879970119669.77","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2625","2560.7","2550","2602","16301","16301","16301","False","-64.3","below","118.55","9.29","136.17","52.5","54","94.4","99.93","True","9.173","6.9797","7.0952","0.1156","4880000533602.199","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2782","2767.1","2760","2775","15109.4","810","16301","True","-14.9","none","117.68","8.66","137.82","52.9","55","92.3","99.34","True","9.131","6.988","7.0962","0.1081","4874166327767.664","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","130.66","32.87","148.01","54.5","56","95.1","109.82","True","9.195","6.9815","7.0988","0.1173","4878739407724.733","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","3013.8","3007","3015","16301","16301","16301","False","-76.2","below","133.14","10.44","156.11","55.2","57","92.3","112.75","True","9.159","6.9865","7.0842","0.0977","4875187199742.535","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
