"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.2","1230","1237","16301","16301","16301","True","-1.8","none","68.45","7.51","73.9","47.2","48","97.1","62.76","True","17.251","14.8222","15.0812","0.259","4260498245976.472","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1395","1393.1","1387","1395","16301","16301","16301","True","-1.9","none","75.28","14.87","80.99","47.7","48","98.4","67.97","True","15.05","13.1522","13.3661","0.2139","4801484362775.228","FLOP/s","True","25","28","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","80.8","9","87.59","47.8","49","98.1","72.56","True","14.006","11.9074","12.0698","0.1624","5303413394083.794","FLOP/s","True","23","26","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","89.12","8.56","97.93","49.4","51","96.5","79.69","True","12.949","10.7849","10.9638","0.1789","5855411386109.285","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","104.43","13.69","114.86","51.2","53","97.5","91.81","True","11.841","9.9165","10.0691","0.1525","6368148276131.382","FLOP/s","True","19","22","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","119.16","17.72","132","53.9","55","96.4","103.87","True","11.298","9.1408","9.2787","0.1378","6908536334741.777","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2167","2158.6","2145","2160","15332.8","810","16301","True","-8.4","none","118.08","8.88","138.86","54.1","56","93.8","102.49","True","10.792","8.6103","8.7551","0.1447","7334185089595.464","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2317","2300","2272","2302","16301","16301","16301","True","-17","none","127.94","12.61","144.62","55.5","57","96.1","110.27","True","10.242","8.1601","8.2869","0.1268","7738895390315.466","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2475","2466.5","2460","2467","16301","16301","16301","True","-8.5","none","138.89","25.58","155.92","57","59","98.2","117.92","True","9.696","7.578","7.6807","0.1027","8333288420402.901","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2625","2601.5","2595","2602","16301","16301","16301","True","-23.5","none","138.96","8.79","162.05","57.1","59","93.1","116.36","True","9.13","7.2496","7.36","0.1104","8710839557300.227","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2782","2670.9","2580","2775","15194.5","810","16301","False","-111.1","below","136.01","9.42","165.62","57.5","60","92.4","114.69","True","9.148","7.1039","7.2085","0.1046","8889469819582.361","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2688","2587","2925","16301","16301","16301","False","-244","below","145.02","15.3","164.05","57.8","60","95.2","121.25","True","9.132","7.1263","7.2277","0.1014","8861492339508.186","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2710","2580","3015","16301","16301","16301","False","-380","below","143.96","10.72","163.28","57.9","61","92.9","120.9","True","9.128","7.1364","7.2533","0.1169","8848965029516.434","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
