"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.6","1230","1237","16301","16301","16301","True","-1.4","none","34.52","18.77","35.39","44.9","45","95.5","31.68","True","20.969","18.2739","18.5311","0.2571","3282228293698.647","FLOP/s","True","35","39","0x0000000000000001;0x0000000000000000"
"1395","1393.2","1387","1395","16301","16301","16301","True","-1.8","none","37.88","23.54","38.88","44","44","100","34.44","True","18.868","16.2306","16.4598","0.2292","3695447139844.7544","FLOP/s","True","31","35","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","39.52","12.44","40.99","43","43","99.1","35.42","True","17.198","14.7004","14.9213","0.221","4080120064616.961","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","44.83","23.25","46.39","43.7","44","98.5","39.67","True","15.623","13.3142","13.5052","0.1911","4504913761444.221","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","50.81","17.94","53.17","44.7","45","98.6","44.38","True","14.5","12.2512","12.4189","0.1677","4895786886920.937","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","61.19","21.35","64.01","46.1","47","100","52.72","True","13.431","11.2956","11.4202","0.1246","5309969930345.943","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2145.4","2145","2152","16301","16301","16301","True","-21.7","none","63.21","19.98","66.56","46.8","47","100","53.98","True","12.891","10.6685","10.8009","0.1325","5622095273172.05","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2317","2285.9","2280","2287","16301","16301","16301","False","-31.1","below","66.22","38.57","68.82","47.3","48","98.3","56.15","True","12.349","10.1313","10.2566","0.1253","5920169110251.299","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2475","2460","2460","2460","16301","16301","16301","True","-15","none","70.11","40.84","72.7","47.5","48","95.9","59.09","True","11.824","9.3975","9.5412","0.1438","6382487847722.971","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2625","2593.1","2587","2595","16301","16301","16301","False","-31.9","below","71.78","37.59","74.94","48.3","49","97.5","60.31","True","11.277","8.9818","9.1307","0.1489","6677895462500.317","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","78.08","35.34","82.88","49.2","50","98.1","64.37","True","10.767","8.2205","8.3203","0.0999","7296339520428.151","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","89.69","40.97","94.6","51.1","52","97.9","73.37","True","10.212","7.7879","7.8801","0.0922","7701632244530.961","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000000"
"3090","3015.5","3015","3022","16301","16301","16301","False","-74.5","below","93.94","34.69","103.6","52.3","53","98.1","75.2","True","9.669","7.5573","7.6451","0.0878","7936628502025.496","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
