"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","16301","16301","16301","True","-1","none","43.17","18.42","44.6","43.4","44","98.4","39.43","True","21.014","18.0795","18.33","0.2505","2865239820327.4644","FLOP/s","True","34","39","0x0000000000000001;0x0000000000000000"
"1395","1393.1","1387","1395","16301","16301","16301","True","-1.9","none","45.53","17.74","47.86","43.5","44","100","41.11","True","18.845","16.0328","16.3003","0.2675","3231011389080.5894","FLOP/s","True","30","35","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","49.79","22.05","51.76","43.8","44","98.6","44.48","True","17.217","14.5204","14.7298","0.2094","3567539729834.875","FLOP/s","True","27","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","60.77","32.77","62.73","45.3","46","98.8","53.75","True","15.615","13.155","13.3422","0.1872","3937821762289.7896","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","70.2","36.24","72.97","46.5","48","97.6","60.89","True","14.543","12.1051","12.302","0.1969","4279377975611.2964","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","83.46","40.46","87.04","48.8","50","96.9","71.43","True","13.428","11.1652","11.344","0.1787","4639588063491.567","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2157.9","2152","2160","16301","16301","16301","True","-9.1","none","86.84","27.74","91.78","50.1","51","98.8","73.83","True","12.926","10.5215","10.6981","0.1766","4923443136122.501","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2301.3","2295","2302","16301","16301","16301","True","-15.7","none","90.59","37.71","95.36","51.1","52","98.2","76.29","True","12.35","9.9798","10.125","0.1452","5190690736793.117","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","100.37","60.91","104.42","52.5","54","97.7","84.01","True","11.817","9.2153","9.3401","0.1249","5621342587516.178","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2625","2611.3","2610","2617","16301","16301","16301","True","-13.7","none","101.8","27.23","108.18","53","54","100","84.09","True","11.277","8.7883","8.9125","0.1242","5894430511639.22","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","109.79","43.93","116.62","54.3","55","98.9","88.57","True","10.219","8.057","8.1674","0.1104","6429495758926.164","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","127.08","73.88","133.16","56.9","58","100","101.67","True","10.236","7.6471","7.7494","0.1023","6774091845308.916","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000000"
"3090","2994.9","2977","3015","16301","16301","16301","False","-95.1","below","134.92","45.56","144.75","58.8","60","100","107.09","True","9.684","7.472","7.5688","0.0968","6932807145340.672","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
