"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.3","1230","1237","16301","16301","16301","True","-0.7","none","50.86","7.29","55.59","47.2","48","97.6","45.54","True","13.529","11.1922","11.36","0.1678","307714644702.02057","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1395","1392.6","1387","1395","15526.4","810","16301","True","-2.4","none","50.75","6.8","57.16","47.6","48","95","45.08","True","12.415","10.541","10.7206","0.1796","326723249555.253","byte/s","True","20","23","0x0000000000000001;0x0000000000000000"
"1545","1543","1537","1545","16301","16301","16301","True","-2","none","52.27","7.15","57.6","47.8","48","95.2","46.36","True","12.366","10.4027","10.5882","0.1856","331069382077.6966","byte/s","True","20","23","0x0000000000000001;0x0000000000000000"
"1702","1700.6","1695","1702","16301","16301","16301","True","-1.4","none","53.21","8.44","57.94","48","49","97.8","47.18","True","12.377","10.4528","10.6347","0.1819","329482199207.52075","byte/s","True","20","23","0x0000000000000001;0x0000000000000000"
"1852","1850.6","1845","1852","16301","16301","16301","True","-1.4","none","53.7","10.25","58.06","48.4","49","97.5","47.67","True","12.378","10.4997","10.6646","0.1649","328008731280.03845","byte/s","True","20","23","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","55.07","10.59","59.92","48.7","49","97.5","48.7","True","11.807","9.8722","10.0223","0.1501","348858859272.26843","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","15389.8","810","16301","True","-7","none","58.01","8.42","66.5","49.4","50","94.1","51","True","10.785","8.8852","9.0137","0.1285","387609750451.443","byte/s","True","17","20","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","64.77","8.98","72.74","50.2","51","95.7","56.26","True","10.232","8.0394","8.1674","0.1281","428392277863.59937","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","15194.5","810","16301","True","-8","none","71.25","9","79.74","51.1","52","92.9","60.34","True","9.156","7.339","7.4254","0.0864","469274823646.74695","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2625","2616.5","2610","2617","16301","16301","16301","True","-8.5","none","71.91","15.11","79.97","51.6","52","97.5","60.86","True","9.175","7.3518","7.4651","0.1134","468457908791.5276","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","15109.4","810","16301","True","-7","none","79.67","9.89","90.76","52.5","53","92.3","66.78","True","8.595","6.8411","6.939","0.098","503428517769.8086","byte/s","True","13","16","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","84.42","19.1","94.53","51.4","52","95.7","71.02","True","9.142","6.8295","6.9268","0.0973","504280808153.18414","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","3007.6","3007","3015","16301","16301","16301","False","-82.4","below","81.47","10.92","93.89","49.5","50","94.2","69.68","True","9.123","6.8286","6.9374","0.1087","504347662835.3338","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
