"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","16301","16301","16301","True","-0.8","none","75.74","6.98","84.69","47.2","48","96","66.17","True","11.313","8.9067","9.0515","0.1449","1920715018801.1023","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1395","1392.5","1387","1395","16301","16301","16301","True","-2.5","none","79.79","19.77","88.42","46.7","47","95.6","68.58","True","10.249","8.2834","8.432","0.1486","2065231006669.0095","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000004"
"1545","1538.6","1537","1545","16301","16301","16301","True","-6.4","none","79.11","7.42","89.67","46.2","47","95.6","68.25","True","10.257","8.1078","8.2316","0.1239","2109966264474.8408","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"1702","1696.8","1695","1702","16301","16301","16301","True","-5.2","none","80.56","15.29","89.76","45.9","47","95.8","68.86","True","10.205","8.173","8.2974","0.1244","2093120051184.6663","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000000"
"1852","1845.4","1830","1852","16301","16301","16301","True","-6.6","none","80.02","6.9","89.93","45.6","47","94.8","68.5","True","10.189","8.1857","8.3114","0.1257","2089880943789.0432","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","84.07","13.56","94.49","45.7","47","93.7","71.18","True","9.752","7.7655","7.8811","0.1156","2202980261835.9155","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16315.3","16301","16501","True","-7","none","89.59","7.46","102.81","46.9","48","93.1","75.45","True","9.176","7.2969","7.4153","0.1184","2344447359390.243","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","102.56","20.43","115.01","48.5","49","99.4","86.57","True","9.142","7.0369","7.1393","0.1024","2431060510595.251","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","108.57","10.38","125.25","49.5","51","95.3","92.43","True","9.17","6.9469","7.0513","0.1044","2462573061122.281","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2625","2595.5","2595","2602","15109.4","810","16301","True","-29.5","none","108.24","8.48","125.66","49.8","51","92.3","91.4","True","9.213","6.9479","7.0509","0.1029","2462195980053.0767","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","117.11","9.53","135.63","50.8","53","93.8","98.83","True","9.14","6.9276","7.0351","0.1075","2469424882240.156","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","15109.4","810","16301","True","-7","none","124.68","9.2","145.56","52.2","54","92.3","105.36","True","9.166","6.9266","7.0199","0.0934","2469790488629.845","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","3000.5","3000","3007","16301","16301","16301","False","-89.5","below","127.33","19.12","146.1","52.8","55","94.6","107.21","True","9.116","6.9263","7.0322","0.1059","2469882094355.006","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
