"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","16301","16301","16301","True","-1","none","34.29","19.85","35.08","44","44","100","31.5","True","21.023","18.274","18.4996","0.2256","3282220749987.385","FLOP/s","True","35","39","0x0000000000000001;0x0000000000000000"
"1395","1393.7","1387","1395","16301","16301","16301","True","-1.3","none","37.05","17.99","38.14","42.9","43","100","33.59","True","18.885","16.2306","16.4733","0.2427","3695440559779.066","FLOP/s","True","31","35","0x0000000000000001;0x0000000000000000"
"1545","1543.3","1537","1545","16301","16301","16301","True","-1.7","none","39.7","22.74","40.75","41.9","42","98.2","35.59","True","17.286","14.6779","14.853","0.1751","4086367747125.512","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1702","1699.5","1695","1702","16301","16301","16301","True","-2.5","none","40.3","12.12","41.94","41.9","42","98.8","35.61","True","15.614","13.3484","13.5329","0.1845","4493350371976.861","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","1849.6","1845","1852","16301","16301","16301","True","-2.4","none","42.8","26.24","44.24","41.7","42","97","37.67","True","15.051","12.2923","12.4554","0.1631","4879429482366.524","FLOP/s","True","23","28","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","45.25","21.76","46.96","42","42","99.7","39.18","True","14.004","11.3389","11.485","0.1461","5289669656321.865","FLOP/s","True","21","26","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","51.09","21.34","53.63","42.7","43","98.4","43.8","True","12.932","10.5072","10.6532","0.146","5708366969354.321","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","60.68","33.02","63.26","44.6","46","98.2","51.73","True","12.373","9.8288","9.9486","0.1198","6102405817721.093","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","69.05","29.8","72.71","47.4","49","96.1","58.08","True","11.818","9.2037","9.3341","0.1304","6516854735496.965","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2625","2603.5","2595","2610","15389.8","810","16301","True","-21.5","none","68.41","7.66","75.64","48.9","50","93.4","59.89","True","11.329","8.7844","8.9198","0.1353","6827906585809.621","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","79.99","10.12","90.4","51.9","54","96","68.88","True","10.21","8.1863","8.2941","0.1078","7326742756655.683","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","92.48","22.52","101.88","53.1","54","97.6","79.49","True","10.252","7.7832","7.895","0.1118","7706228062306.134","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"3090","3007","3007","3007","16301","16301","16301","False","-83","below","93.99","34.62","103.89","53.9","55","100","75.2","True","9.717","7.6002","7.703","0.1028","7891775310182.096","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
