"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.4","1230","1237","16301","16301","16301","True","-1.6","none","43.59","27.57","44.62","43.9","44","98.7","39.76","True","21.006","18.0794","18.3229","0.2434","2865251579587.4478","FLOP/s","True","34","39","0x0000000000000001;0x0000000000000000"
"1395","1393.1","1387","1395","16301","16301","16301","True","-1.9","none","46.38","23.63","47.86","43.2","44","99.7","41.96","True","18.869","16.0328","16.2949","0.2621","3231012940824.869","FLOP/s","True","30","35","0x0000000000000001;0x0000000000000000"
"1545","1541.7","1537","1545","16301","16301","16301","True","-3.3","none","49","27.97","50.46","43.3","44","98","43.53","True","17.249","14.4728","14.6768","0.204","3579286508485.032","FLOP/s","True","27","32","0x0000000000000001;0x0000000000000000"
"1702","1697.2","1695","1702","16301","16301","16301","True","-4.8","none","53.22","23.7","55.26","43.6","44","98.8","46.79","True","15.623","13.1343","13.3331","0.1988","3944039602368.5234","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1852","1846.2","1845","1852","16301","16301","16301","True","-5.8","none","55.99","12.86","59.88","43.9","45","97.8","48.62","True","14.524","12.0749","12.258","0.1832","4290075927398.007","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","61.29","11.9","64.78","44.4","45","96.3","52.91","True","13.966","11.1484","11.3487","0.2003","4646608887599.649","FLOP/s","True","21","26","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","70.2","17.25","74.01","46.1","47","97.4","59.76","True","12.884","10.3244","10.4879","0.1636","5017458235350.616","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","81.55","31.61","87.93","47.8","49","100","68.02","True","11.821","9.6679","9.8033","0.1353","5358152855292.982","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","97.3","29.65","103.94","50.4","51","97.9","80.35","True","11.298","9.0539","9.2033","0.1494","5721523979672.904","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2625","2616.6","2610","2617","16301","16301","16301","True","-8.4","none","103.56","52.38","108.39","51.3","53","100","85.13","True","11.265","8.6137","8.7086","0.0948","6013902946249.124","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","15332.8","810","16301","True","-7","none","107.23","9.02","122.07","52.9","55","93.6","91.78","True","10.27","8.0443","8.1484","0.104","6439600485269.326","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","125.48","16.37","140.84","56.5","58","99.3","107.61","True","10.207","7.6533","7.7738","0.1204","6768578095395.192","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2996.8","2985","3015","15268.3","810","16301","False","-93.2","below","126.62","9.2","143.9","56.7","59","91.5","107.07","True","9.692","7.5001","7.6025","0.1025","6906891889423.446","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
