"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","16301","16301","16301","True","-1.2","none","57.18","16.92","59.55","45.7","46","98.1","51.25","True","18.848","15.8403","16.0812","0.2409","8329497400645.825","FLOP/s","True","30","35","0x0000000000000001;0x0000000000000000"
"1395","1388.5","1387","1395","16301","16301","16301","True","-6.5","none","60.93","19.73","64.73","45.9","46","99.6","53.87","True","16.656","14.0436","14.2526","0.209","9395095566538.486","FLOP/s","True","27","31","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","65.46","36.9","67.64","46.3","47","98.8","57.59","True","15.556","12.6726","12.8687","0.1961","10411589216182.564","FLOP/s","True","24","29","0x0000000000000001;0x0000000000000000"
"1702","1695.3","1695","1702","16301","16301","16301","True","-6.7","none","69.37","28.99","72.18","46.9","48","100","59.81","True","13.956","11.4884","11.6279","0.1395","11484759325251.87","FLOP/s","True","22","26","0x0000000000000001;0x0000000000000000"
"1852","1847.4","1845","1852","16301","16301","16301","True","-4.5","none","74.12","35.95","77.26","47.6","48","100","62.93","True","12.957","10.5701","10.712","0.1418","12482488758011.63","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","77.55","41.13","81.34","47.6","49","96.8","65.66","True","12.365","9.7615","9.8985","0.137","13516522794304.27","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","93.15","47.82","97.26","49.9","51","98.4","77.66","True","11.301","9.0477","9.1763","0.1286","14582935960611.254","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","105.79","46.17","112.2","52.1","53","98.1","86.22","True","10.76","8.4734","8.5924","0.119","15571159201080.309","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","127.25","65.05","134.32","55.7","57","100","102.44","True","10.209","7.9333","8.0295","0.0962","16631280757817.818","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2625","2616.5","2610","2617","16301","16301","16301","True","-8.5","none","130.97","30.46","146.46","56.7","59","97.6","103.92","True","9.676","7.5744","7.6799","0.1055","17419360210474.146","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","154.9","80.4","164.26","60.3","62","97.2","122.8","True","9.662","7.066","7.169","0.103","18672631825860.164","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","172.78","58.63","187.9","64.4","67","98","135.41","True","9.167","6.7243","6.8251","0.1008","19621581318119.84","FLOP/s","True","12","17","0x0000000000000001;0x0000000000000000"
"3090","2975.8","2962","2977","16301","16301","16301","False","-114.2","below","180.06","87.12","192.92","65.6","68","100","140.8","True","9.161","6.6456","6.7414","0.0958","19853971077712.934","FLOP/s","True","12","17","0x0000000000000001;0x0000000000000000"
