"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","13801","13801","13801","True","-0.8","none","60.12","6.35","66.94","44.6","45","94.2","52.74","True","11.335","9.067","9.2054","0.1384","344095455106.74945","byte/s","True","17","21","0x0000000000000400"
"1395","1394","1387","1395","13801","13801","13801","True","-1","none","61.13","6.9","68.24","43.7","44","94.9","53.2","True","10.73","8.6763","8.8","0.1236","359588816808.7231","byte/s","True","16","20","0x0000000000000400"
"1545","1537","1537","1537","12989.1","810","13801","True","-8","none","63.32","6.77","70","43.2","44","92.2","54.67","True","10.235","8.313","8.4417","0.1287","375305184074.58514","byte/s","True","16","19","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","66.59","6.98","74.81","43.5","44","93.8","57.18","True","10.205","8.1691","8.3208","0.1517","381914044616.8687","byte/s","True","16","19","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","72.47","13.57","80.17","43.8","45","94.9","62.5","True","10.203","8.2307","8.3801","0.1494","379057393396.96643","byte/s","True","16","19","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","77.34","8.36","86.47","44.5","45","94.6","66.85","True","10.285","8.2399","8.387","0.1471","378633341600.81354","byte/s","True","15","19","0x0000000000000400"
"2167","2152.5","2152","2160","13801","13801","13801","True","-14.5","none","79.47","15.47","87.69","44.7","45","98.3","68.72","True","10.223","8.2388","8.3714","0.1326","378682547856.9723","byte/s","True","15","19","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","82.5","9.78","92.54","45.1","46","96.3","71.45","True","10.237","8.2397","8.3923","0.1526","378641672721.87396","byte/s","True","15","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","90.33","21.75","98.94","46.4","47","97.8","77.65","True","10.204","8.2417","8.3771","0.1354","378552002623.0","byte/s","True","16","19","0x0000000000000400"
"2625","2617","2617","2617","12989.1","810","13801","True","-8","none","98.1","10.1","110.34","47.3","49","93.8","84.21","True","10.204","8.2434","8.3815","0.1381","378473692047.7386","byte/s","True","16","19","0x0000000000000400"
"2782","2752","2752","2752","13801","13801","13801","True","-30","none","108.25","26.49","118.59","49.3","50","100","93.35","True","10.243","8.2435","8.367","0.1235","378466589536.3743","byte/s","True","15","19","0x0000000000000400"
"2932","2753.4","2752","2775","12989.1","810","13801","False","-178.6","below","102.99","10.97","118.93","49.2","51","93.8","88.75","True","10.185","8.2435","8.3786","0.1351","378469256964.1345","byte/s","True","16","19","0x0000000000000400"
"3090","2752","2752","2752","13801","13801","13801","False","-338","below","108.51","26.57","118.81","49.9","51","96.2","93.51","True","10.197","8.2439","8.3839","0.1399","378448262891.14825","byte/s","True","16","19","0x0000000000000400"
