"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","13036.8","810","13801","True","-1.2","none","69.28","6.15","79.43","44.5","45","94.1","60.75","True","11.364","9.2241","9.3406","0.1165","1854616743167.6003","FLOP/s","True","17","21","0x0000000000000400"
"1395","1391.7","1387","1395","13036.8","810","13801","True","-3.3","none","72.31","6.62","83.6","44.3","45","94.1","62.72","True","10.735","8.7486","8.9123","0.1637","1955409258273.084","FLOP/s","True","17","20","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","77.53","11.38","86.08","44.6","46","96.6","66.47","True","10.226","8.3458","8.484","0.1382","2049786753857.4614","FLOP/s","True","16","19","0x0000000000000004;0x0000000000000400"
"1702","1695","1695","1695","13813.5","13801","14001","True","-7","none","81.76","7.27","93.22","45.2","46","93.9","69.96","True","10.214","8.2122","8.3632","0.151","2083131824577.9941","FLOP/s","True","16","19","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","89.27","14.67","99.39","46.1","47","94.7","76.83","True","10.237","8.1751","8.303","0.1279","2092598683600.1704","FLOP/s","True","15","19","0x0000000000000400"
"2010","2002","2002","2002","12934.9","810","13801","True","-8","none","93.49","7.73","109.36","47.3","49","93.3","80.85","True","10.202","8.1812","8.3315","0.1503","2091040329766.276","FLOP/s","True","15","19","0x0000000000000400"
"2167","2152.5","2152","2160","13801","13801","13801","True","-14.5","none","99.37","15.34","111.03","47.9","49","94.5","85.55","True","10.27","8.1825","8.3223","0.1398","2090697816125.8477","FLOP/s","True","15","19","0x0000000000000400"
"2317","2310","2310","2310","12934.9","810","13801","True","-7","none","103.72","8.49","117.6","48.8","50","93.3","89.54","True","10.202","8.1819","8.3063","0.1244","2090852001096.7485","FLOP/s","True","15","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","115.15","10.93","129.04","50.5","52","94.6","98.72","True","10.187","8.1871","8.3135","0.1264","2089524338676.9353","FLOP/s","True","16","19","0x0000000000000400"
"2625","2617","2617","2617","12934.9","810","13801","True","-8","none","121.01","10.68","142.25","52.3","55","93.3","105.1","True","10.195","8.1898","8.3064","0.1167","2088843884926.9902","FLOP/s","True","15","19","0x0000000000000400"
"2782","2746.9","2745","2775","13801","13801","13801","False","-35.1","below","138.29","12.89","154.93","54.8","57","95.2","118.28","True","10.203","8.1902","8.3094","0.1192","2088738424935.4521","FLOP/s","True","16","19","0x0000000000000400"
"2932","2746","2745","2760","12934.9","810","13801","False","-186","below","132.91","11.36","155.19","55.2","57","93.3","114.92","True","10.259","8.1907","8.3299","0.1392","2088603344585.2522","FLOP/s","True","15","19","0x0000000000000400"
"3090","2746","2745","2760","13801","13801","13801","False","-344","below","138.17","16.72","155.61","55.9","58","96.1","119.22","True","10.232","8.1897","8.3207","0.131","2088860514656.5105","FLOP/s","True","15","19","0x0000000000000400"
