"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","13801","13801","13801","True","-1","none","42.18","13.41","44.2","43.8","44","98.6","38.55","True","20.969","18.0789","18.3112","0.2324","2865341647302.749","FLOP/s","True","34","39","0x0000000000000400"
"1395","1392.9","1387","1395","13801","13801","13801","True","-2.1","none","45.81","17.53","47.36","43.2","44","99.4","41.34","True","18.829","16.0322","16.2539","0.2218","3231135493047.053","FLOP/s","True","30","35","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","48.86","20.78","51.02","43.3","44","98.4","43.61","True","17.219","14.5087","14.7045","0.1958","3570428548021.2163","FLOP/s","True","27","32","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","59.72","26.87","62","44.6","45","98.6","52.54","True","15.616","13.153","13.3705","0.2175","3938436432717.359","FLOP/s","True","25","29","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","69.74","39.94","72.48","46.3","47","96.9","60.54","True","14.57","12.0988","12.3099","0.2111","4281607866523.7886","FLOP/s","True","23","27","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","80.7","29.59","86.04","47.7","49","100","69.02","True","13.446","11.1531","11.3185","0.1654","4644620700146.091","FLOP/s","True","21","25","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","88.29","44.51","92.54","49.5","50","100","75","True","12.88","10.361","10.5357","0.1747","4999724536963.483","FLOP/s","True","19","24","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","99.25","46.37","104.31","51.4","52","98.5","83.66","True","12.334","9.6626","9.814","0.1514","5361117134951.6455","FLOP/s","True","18","23","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","115.83","49.42","122.43","54.1","56","97.7","96.1","True","11.313","9.0484","9.2058","0.1574","5724989740254.122","FLOP/s","True","17","21","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","142.13","31.48","153.96","59.1","61","99.1","116.05","True","10.738","8.533","8.6491","0.1161","6070823242671.538","FLOP/s","True","16","20","0x0000000000000400"
"2782","2713.2","2700","2775","13801","13801","13801","False","-68.8","below","149.93","17.23","167.75","61.4","64","93.7","130.3","True","10.768","8.2622","8.3844","0.1222","6269749720098.177","FLOP/s","True","16","20","0x0000000000000400"
"2932","2708","2707","2722","13801","13801","13801","False","-224","below","159.87","72.1","169.03","63.1","65","100","131.55","True","10.756","8.2641","8.3548","0.0906","6268303544566.769","FLOP/s","True","15","20","0x0000000000000400"
"3090","2708.6","2700","2737","13801","13801","13801","False","-381.4","below","157.1","55.11","169.03","63.3","65","100","128.63","True","10.755","8.2649","8.3821","0.1171","6267700978725.081","FLOP/s","True","15","20","0x0000000000000400"
