"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.1","1230","1237","16301","16301","16301","True","-0.9","none","63.75","12.23","71.13","45.8","46","94.6","55.46","True","10.766","8.7486","8.8761","0.1274","356617030722.77637","byte/s","True","16","20","0x0000000000000001;0x0000000000000000"
"1395","1392.3","1387","1395","15268.3","810","16301","True","-2.7","none","66","6.57","73.86","44.7","45","93.3","56.91","True","10.225","8.1502","8.309","0.1588","382799830542.1045","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"1545","1538.6","1537","1545","16301","16301","16301","True","-6.4","none","66.31","6.97","74.96","44.5","45","95","56.36","True","9.741","7.9373","8.0397","0.1024","393069793163.4211","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"1702","1694.5","1687","1695","16301","16301","16301","True","-7.5","none","67.83","14.62","74.84","43.9","44","100","57.8","True","9.683","7.9723","8.0759","0.1036","391343741698.61743","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"1852","1843.5","1822","1845","16301","16301","16301","True","-8.5","none","65.38","6.72","74.83","43.5","44","93.3","56.58","True","10.213","8.0197","8.1508","0.1312","389032023753.4757","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","67.9","15.39","76.36","43.5","44","93.8","58.17","True","9.667","7.6306","7.7396","0.109","408869838479.9767","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","73.5","9.63","83.48","43.8","45","93.1","62.17","True","9.149","7.2597","7.3796","0.1199","429757818175.7491","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","15109.4","810","16301","True","-7","none","79.11","7.76","91.08","44.3","45","92.3","67.56","True","9.141","7.0706","7.1789","0.1083","441251862700.67896","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","86.95","15.37","98.6","45.5","46","97.7","73.46","True","9.131","6.9982","7.0964","0.0981","445812656153.26135","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2625","2587.6","2587","2595","16301","16301","16301","False","-37.4","below","86.58","11.8","98.92","45.4","46","95.9","73.4","True","9.157","7.0033","7.1034","0.1001","445488901904.2064","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","15109.4","810","16301","True","-7","none","86.39","8.47","104.51","46","47","92.3","73.57","True","9.142","6.9821","7.0878","0.1057","446841581535.34607","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2932","2921.3","2917","2925","16301","16301","16301","True","-10.7","none","98.76","16.87","112.41","47.5","49","93.3","84.05","True","9.143","6.9798","7.0827","0.1029","446990208415.7849","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","2992.6","2992","3000","16301","16301","16301","False","-97.4","below","98.63","11.26","113.2","47.8","49","95.2","83.5","True","9.212","6.9799","7.0851","0.1052","446984489676.50146","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
