"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","16301","16301","16301","True","-1","none","63.5","13.29","66.7","47.2","48","98.3","58.88","True","19.956","17.9814","18.234","0.2525","4493421664546.043","FLOP/s","True","34","37","0x0000000000000001;0x0000000000000000"
"1395","1392.6","1387","1395","16301","16301","16301","True","-2.4","none","69.47","12.33","73.67","47.5","48","98.7","64.12","True","18.298","15.9565","16.2048","0.2483","5063650754375.474","FLOP/s","True","30","34","0x0000000000000001;0x0000000000000000"
"1545","1538.8","1537","1545","15727.3","810","16301","True","-6.2","none","72.6","6.69","78.38","47.5","48","96.3","66.5","True","16.66","14.4107","14.6098","0.1991","5606816958402.954","FLOP/s","True","27","31","0x0000000000000001;0x0000000000000000"
"1702","1695.6","1695","1702","16301","16301","16301","True","-6.4","none","78.68","11.02","84.51","48.2","49","98.8","70.99","True","15.187","13.0779","13.261","0.1832","6178243562593.285","FLOP/s","True","25","28","0x0000000000000001;0x0000000000000000"
"1852","1844","1815","1852","15627.5","810","16301","True","-8","none","81.84","6.66","89.43","48.5","50","94.5","73.19","True","13.98","12.0166","12.1864","0.1698","6723871145344.039","FLOP/s","True","23","26","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","85.72","7.55","93.57","49.3","51","95.9","76.23","True","13.437","11.0929","11.2605","0.1677","7283783650201.614","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","99.44","9.08","110.41","50.9","52","96.3","88.09","True","12.354","10.2778","10.4476","0.1698","7861447118095.298","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","113.36","12.77","125.16","53.1","55","97.4","99.97","True","11.842","9.6281","9.781","0.1529","8391897445361.971","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","132.12","33.25","146.07","56.3","58","97.6","115.62","True","11.281","9.0047","9.155","0.1503","8972906504369.453","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2625","2616.1","2602","2617","15332.8","810","16301","True","-8.9","none","134.43","9.17","153.11","56.9","59","93.8","116.86","True","10.764","8.5684","8.6981","0.1296","9429775584671.62","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","155.19","19.3","175.7","60.2","62","96","133.82","True","10.288","8.008","8.1067","0.0987","10089658238224.193","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2857.3","2835","2925","15268.3","810","16301","False","-74.7","below","166.67","13.77","189.36","61.5","64","92.7","141.51","True","9.663","7.7995","7.8908","0.0913","10359387231313.23","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2867.7","2835","3007","16301","16301","16301","False","-222.3","below","166.71","17.57","185.46","62.3","65","97.3","142.07","True","9.677","7.7999","7.8951","0.0951","10358822773442.496","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
