"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.2","1230","1237","13151.4","810","13801","True","-1.8","none","67.44","12.5","74.81","46.6","47","92.8","60.84","True","12.956","10.6345","10.8115","0.177","1608653142001.267","FLOP/s","True","20","24","0x0000000000000000"
"1395","1392.1","1387","1395","13117.3","810","13801","True","-2.9","none","70.01","12.93","77.84","46.2","47","93.2","62.27","True","11.902","9.9702","10.1081","0.1379","1715834882562.422","FLOP/s","True","19","22","0x0000000000000000"
"1545","1537","1537","1537","13079.3","810","13801","True","-8","none","72.15","13.63","80.59","46","47","93.8","63.82","True","11.406","9.4486","9.6106","0.162","1810549462777.486","FLOP/s","True","18","21","0x0000000000000000"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","79.82","15.23","88.32","46.4","47","93.5","70.85","True","11.413","9.1686","9.3156","0.1471","1865846115484.361","FLOP/s","True","17","21","0x0000000000000000"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","86.12","16.78","94.78","47.2","48","93.6","76.48","True","11.295","9.1168","9.266","0.1492","1876433316803.5466","FLOP/s","True","17","21","0x0000000000000000"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","95.91","25.21","104.14","48.5","50","95.9","85.14","True","11.308","9.1246","9.2494","0.1248","1874846590526.4224","FLOP/s","True","17","21","0x0000000000000000"
"2167","2152.5","2152","2160","13036.8","810","13801","True","-14.5","none","93.73","18.33","105.8","48.7","50","90.9","83.17","True","11.398","9.0314","9.1841","0.1527","1894184241530.0444","FLOP/s","True","17","21","0x0000000000000000"
"2317","2310","2310","2310","13036.8","810","13801","True","-7","none","100.89","20.17","112.45","49.5","51","93.4","89.76","True","11.317","9.0012","9.1412","0.14","1900540672673.714","FLOP/s","True","17","21","0x0000000000000000"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","111.83","23.96","123.52","51.3","53","94.4","99.6","True","11.361","8.9783","9.1493","0.171","1905391191557.0942","FLOP/s","True","17","21","0x0000000000000000"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","125.01","32.93","136.45","53.5","55","95.4","110.14","True","10.817","8.9464","9.0828","0.1363","1912177369744.8206","FLOP/s","True","17","20","0x0000000000000000"
"2782","2738.4","2737","2760","13401","7001","13801","False","-43.6","below","135.9","28.69","147.85","54.8","57","88.5","119.84","True","10.811","8.9316","9.0663","0.1346","1915349062777.2922","FLOP/s","True","17","20","0x0000000000000000"
"2932","2739.3","2737","2760","13401","7001","13801","False","-192.7","below","132.76","28.89","148","55.5","57","93.4","117.72","True","11.318","8.9372","9.081","0.1437","1914147717992.866","FLOP/s","True","17","21","0x0000000000000000"
"3090","2738.4","2737","2760","13801","13801","13801","False","-351.6","below","134.18","29.39","148.02","56.1","58","93.6","119.67","True","11.307","8.9704","9.1131","0.1427","1907071263100.1233","FLOP/s","True","17","21","0x0000000000000000"
