"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.9","1230","1237","13801","13801","13801","True","-1.1","none","47.4","15.11","49.88","44.2","45","98.2","44.06","True","16.075","13.8676","14.0622","0.1945","248348457518.89505","byte/s","True","26","30","0x0000000000000000"
"1395","1393.7","1387","1395","13801","13801","13801","True","-1.3","none","48","13.28","51.25","42.9","43","95.4","44.3","True","14.961","12.9883","13.1913","0.203","265160760910.00073","byte/s","True","25","28","0x0000000000000000"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","50.42","13.69","54.08","41.9","42","94.8","46.03","True","13.464","11.5069","11.6808","0.1739","299299103029.076","byte/s","True","22","25","0x0000000000000000"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","55.03","15.21","59.72","41.9","42","94.2","49.78","True","12.475","10.1398","10.3124","0.1726","339650326438.68195","byte/s","True","19","23","0x0000000000000000"
"1852","1845","1845","1845","13812.1","13801","14001","True","-7","none","59.63","16.26","64.91","41.8","42","93.7","53.41","True","11.365","9.3189","9.4712","0.1522","369570948838.75024","byte/s","True","18","21","0x0000000000000000"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","64.21","18.56","69.54","42.1","43","95.4","57.75","True","11.42","9.0835","9.2418","0.1583","379150262830.85254","byte/s","True","17","21","0x0000000000000000"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","65.47","21.61","70.42","42.1","43","96.2","58.84","True","11.42","9.0608","9.2024","0.1416","380098237294.0816","byte/s","True","17","21","0x0000000000000000"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","68.88","25.06","73.82","42.6","43","95.2","61.5","True","10.84","9.0025","9.1362","0.1337","382562048698.65875","byte/s","True","17","20","0x0000000000000000"
"2475","2467","2467","2467","13401","7001","13801","True","-8","none","72.98","23.07","79.67","43.1","44","92.5","65.96","True","11.241","9.0066","9.132","0.1253","382384339562.4133","byte/s","True","17","21","0x0000000000000000"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","80.51","25.33","87.35","44.2","45","93.4","72.87","True","11.203","8.9839","9.1076","0.1237","383351507096.3058","byte/s","True","17","21","0x0000000000000000"
"2782","2755.2","2752","2775","13401","7001","13801","True","-26.8","none","86.96","27.73","93.24","45.1","46","89.2","78.08","True","10.819","8.9154","9.0736","0.1583","386300011424.45416","byte/s","True","17","20","0x0000000000000000"
"2932","2755.6","2752","2775","13401","7001","13801","False","-176.4","below","85.23","27.81","92.91","45.5","46","93.4","77.31","True","11.233","8.9434","9.0809","0.1375","385089082375.64514","byte/s","True","17","21","0x0000000000000000"
"3090","2753.8","2752","2775","13801","13801","13801","False","-336.2","below","87.07","33.11","93.28","45.8","47","96.6","78.83","True","11.232","8.9624","9.0867","0.1243","384270487862.4631","byte/s","True","17","21","0x0000000000000000"
