"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1234.8","1230","1237","13210.5","810","13801","True","-2.2","none","53.3","12.17","57.76","42.8","43","91.8","48.39","True","13.538","11.515","11.6892","0.1742","166421243307.4644","FLOP/s","True","22","25","0x0000000000000000"
"1395","1389.7","1387","1395","13182.4","810","13801","True","-5.3","none","55.66","12.68","59.89","42.3","43","92.7","50.39","True","13.003","10.8124","11.0154","0.203","177235868357.8831","FLOP/s","True","21","24","0x0000000000000000"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","57.97","18.07","62.02","41.9","42","97.6","52.24","True","12.395","10.3172","10.4896","0.1725","185743231034.47717","FLOP/s","True","20","23","0x0000000000000000"
"1702","1695","1695","1695","13117.3","810","13801","True","-7","none","61.39","14.54","67.04","42.1","43","91.7","55.19","True","12.279","9.921","10.0473","0.1263","193160847779.8037","FLOP/s","True","19","23","0x0000000000000000"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","65.57","15.9","71.28","42.6","43","94.5","59.03","True","11.837","9.622","9.7659","0.1439","199161611361.08374","FLOP/s","True","18","22","0x0000000000000000"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","72.52","22.27","78.43","43.4","44","96.6","64.62","True","11.312","9.4007","9.5478","0.1471","203851218495.14578","FLOP/s","True","18","21","0x0000000000000000"
"2167","2152","2152","2152","13801","13801","13801","True","-15","none","75.06","32.44","79.72","43.6","44","95.6","66.85","True","11.326","9.3158","9.4474","0.1317","205709864826.56488","FLOP/s","True","18","21","0x0000000000000000"
"2317","2310","2310","2310","13423.2","7001","13801","True","-7","none","77.89","20.16","85.25","44.3","45","93.7","69.66","True","11.266","9.2412","9.3747","0.1335","207368397023.49344","FLOP/s","True","18","21","0x0000000000000000"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","85.66","27.07","92.2","45.5","46","97.8","76.93","True","11.3","9.1125","9.2409","0.1284","210298356428.15195","FLOP/s","True","17","21","0x0000000000000000"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","94.78","40.05","101.62","47.1","48","96.4","85.06","True","11.373","9.0362","9.1843","0.1481","212074605825.14053","FLOP/s","True","17","21","0x0000000000000000"
"2782","2753.4","2752","2775","13401","7001","13801","True","-28.6","none","100.47","27.68","110.15","48","50","91.5","89.95","True","11.321","8.9865","9.1142","0.1277","213246881957.99036","FLOP/s","True","17","21","0x0000000000000000"
"2932","2752.5","2752","2760","13401","7001","13801","False","-179.5","below","100.89","27.74","110.45","48.8","50","93.4","90.76","True","11.214","8.9821","9.1125","0.1303","213350673939.5124","FLOP/s","True","17","21","0x0000000000000000"
"3090","2752.5","2752","2760","13801","13801","13801","False","-337.5","below","103.48","41.35","110.76","49.2","50","95.8","92.92","True","11.274","8.9837","9.1131","0.1294","213312562252.17224","FLOP/s","True","17","21","0x0000000000000000"
