"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.3","1230","1237","13801","13801","13801","True","-0.7","none","34.54","24.07","35.22","42.6","43","97.3","32.6","True","24.612","21.3666","21.6628","0.2962","2807148236803.185","FLOP/s","True","41","46","0x0000000000000000"
"1395","1392.9","1387","1395","13801","13801","13801","True","-2.1","none","36.82","20.29","37.82","41.8","42","96.7","34.33","True","21.115","18.2909","18.5431","0.2521","3279176157902.5425","FLOP/s","True","35","39","0x0000000000000000"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","39.59","30.22","40.41","41","41","96.8","36.79","True","19.474","16.4311","16.6893","0.2582","3650356878380.1035","FLOP/s","True","31","36","0x0000000000000000"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","44.93","35.36","46.1","41.9","42","96.4","41.26","True","17.201","14.7246","14.933","0.2084","4073393669151.6006","FLOP/s","True","28","32","0x0000000000000000"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","50.72","32.17","52.67","42.9","44","98.4","46.03","True","16.016","13.5813","13.7514","0.1701","4416296674671.604","FLOP/s","True","26","30","0x0000000000000000"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","60.19","33.18","62.26","44.5","45","98.7","54.02","True","14.965","12.5206","12.6916","0.1711","4790454138467.801","FLOP/s","True","24","28","0x0000000000000000"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","63.55","36.52","65.76","45.2","46","97.5","56.48","True","13.96","11.6293","11.7584","0.129","5157581233189.154","FLOP/s","True","22","26","0x0000000000000000"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","70.63","37.64","73.93","46.7","47","96.6","62.42","True","13.371","10.7735","10.9022","0.1287","5567289947221.338","FLOP/s","True","20","25","0x0000000000000000"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","84.15","48.94","87.46","48.8","50","97.4","73.48","True","12.313","10.0593","10.1916","0.1323","5962559557641.505","FLOP/s","True","19","23","0x0000000000000000"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","99.78","69.83","103.3","51.7","53","97.3","86.7","True","11.824","9.4369","9.5704","0.1335","6355842115882.4795","FLOP/s","True","17","22","0x0000000000000000"
"2782","2751.2","2745","2760","13801","13801","13801","False","-30.8","below","111.28","49.66","117.74","54.4","56","97.9","95.56","True","11.247","8.8554","8.9828","0.1275","6773201352955.822","FLOP/s","True","16","21","0x0000000000000000"
"2932","2752","2752","2752","13801","13801","13801","False","-180","below","112.5","67.99","118.18","55.1","56","95.6","96.39","True","11.22","8.8885","9.0103","0.1218","6747955762248.093","FLOP/s","True","17","21","0x0000000000000000"
"3090","2752","2752","2752","13801","13801","13801","False","-338","below","114.65","84.35","119.42","55.6","57","97.2","99.01","True","11.289","8.8262","8.9521","0.1259","6795601954249.9795","FLOP/s","True","16","21","0x0000000000000000"
