"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.1","1230","1237","13801","13801","13801","True","-0.9","none","42.4","20.22","43.86","46","46","98.3","39.79","True","24.037","20.9258","21.2604","0.3346","2475511235556.217","FLOP/s","True","40","45","0x0000000000000000"
"1395","1393.9","1387","1395","13801","13801","13801","True","-1.1","none","45.72","34.79","46.51","45","45","97.9","42.45","True","21.363","18.4103","18.6363","0.226","2813753419234.69","FLOP/s","True","35","40","0x0000000000000000"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","48.48","21.86","50.35","44.7","45","97.6","44.58","True","19.453","16.3362","16.6129","0.2768","3171007161402.874","FLOP/s","True","31","36","0x0000000000000000"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","58.52","27.06","61.47","45.6","46","99.1","53.17","True","17.269","14.599","14.8079","0.2089","3548334471138.2056","FLOP/s","True","27","32","0x0000000000000000"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","67.82","38.62","71.71","47","48","99","60.93","True","16.187","13.3259","13.5521","0.2262","3887335630962.142","FLOP/s","True","25","30","0x0000000000000000"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","79.54","26.22","83.88","48.6","50","96.4","70.81","True","15.04","12.3341","12.5378","0.2037","4199925815827.702","FLOP/s","True","23","28","0x0000000000000000"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","86.46","60.22","88.89","50","51","97.5","75.93","True","14.002","11.5361","11.7053","0.1692","4490444704369.261","FLOP/s","True","22","26","0x0000000000000000"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","97.19","63.86","100.51","51.8","53","96.6","85.12","True","13.326","10.6708","10.8342","0.1634","4854576198879.423","FLOP/s","True","20","25","0x0000000000000000"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","111.02","46.58","117.8","54.3","56","96.6","95.74","True","12.328","9.9473","10.0731","0.1257","5207642133534.316","FLOP/s","True","19","23","0x0000000000000000"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","134.1","63.61","142.81","58.3","60","99","114.61","True","11.767","9.3665","9.5036","0.1371","5530569455391.826","FLOP/s","True","17","22","0x0000000000000000"
"2782","2704.4","2700","2730","13801","13801","13801","False","-77.6","below","154.45","95.7","161.41","61.6","63","97.1","130.87","True","11.228","9.0018","9.1293","0.1275","5754615461410.915","FLOP/s","True","17","21","0x0000000000000000"
"2932","2702.6","2700","2715","13801","13801","13801","False","-229.4","below","151.27","62.19","160.94","62.1","64","99","129.3","True","11.775","9.049","9.1765","0.1275","5724654742189.909","FLOP/s","True","17","22","0x0000000000000000"
"3090","2702.1","2700","2715","13801","13801","13801","False","-387.9","below","154.2","95.43","161.27","62.6","64","98.5","130.41","True","11.199","9.0445","9.1762","0.1317","5727483813309.965","FLOP/s","True","17","21","0x0000000000000000"
