"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","13801","13801","13801","True","-0.8","none","45.12","42.47","45.69","45","45","99","39.53","True","22.405","18.0274","18.2615","0.2341","2873523436170.546","FLOP/s","True","33","41","0x0000000000000400"
"1395","1393.4","1387","1395","13801","13801","13801","True","-1.6","none","47.26","26.95","48.68","44.7","45","99","43.05","True","19.038","15.9861","16.245","0.2588","3240444837166.5146","FLOP/s","True","30","35","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","50.47","25.49","52.36","44.6","45","97.9","45.41","True","16.876","14.4678","14.6614","0.1936","3580515749798.584","FLOP/s","True","27","31","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","61.07","32.58","63.45","45.8","46","98.9","54.45","True","15.807","13.1214","13.3307","0.2093","3947900579988.7666","FLOP/s","True","24","29","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","71.45","46.23","73.68","47.4","48","100","62.97","True","14.724","12.0669","12.2528","0.1859","4292917957010.7295","FLOP/s","True","22","27","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","83.77","35.48","87.63","49.5","50","100","72.65","True","13.656","11.1242","11.3073","0.1831","4656708735414.265","FLOP/s","True","20","25","0x0000000000000400"
"2167","2158.7","2152","2160","13801","13801","13801","True","-8.3","none","90.91","61.35","94.06","50.8","52","98.9","78.4","True","13.063","10.3656","10.5305","0.165","4997516146710.586","FLOP/s","True","19","24","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","101.93","58.32","106.09","52.5","54","100","86.24","True","12.005","9.6389","9.8057","0.1668","5374303265682.397","FLOP/s","True","18","22","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","117.28","56.51","124.86","55.4","57","98.8","98.11","True","11.438","9.0279","9.1892","0.1613","5738014701579.624","FLOP/s","True","16","21","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","146.72","75.44","155.68","60.4","62","98.6","121.38","True","10.806","8.513","8.6169","0.1039","6085052607274.714","FLOP/s","True","15","20","0x0000000000000400"
"2782","2707.2","2700","2752","13801","13801","13801","False","-74.8","below","155.02","32.81","171.4","63.1","66","99","133.6","True","10.36","8.2506","8.3457","0.0951","6278572072604.54","FLOP/s","True","16","19","0x0000000000000400"
"2932","2704.7","2700","2715","13801","13801","13801","False","-227.3","below","165.34","117.49","172.38","64.3","66","100","135.92","True","10.355","8.2505","8.3515","0.1009","6278656923187.419","FLOP/s","True","15","19","0x0000000000000400"
"3090","2707.2","2700","2760","12989.1","810","13801","False","-382.8","below","157.26","19.7","173.08","63.4","66","92","136.57","True","10.86","8.2493","8.3512","0.1019","6279563940339.2295","FLOP/s","True","16","20","0x0000000000000400"
