"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.1","1230","1237","13801","13801","13801","True","-0.9","none","34.65","20.1","35.56","45.3","46","97.1","32.72","True","24.158","21.0503","21.3628","0.3125","2849333399484.8286","FLOP/s","True","40","45","0x0000000000000400"
"1395","1393.2","1387","1395","13801","13801","13801","True","-1.8","none","37.54","26.96","38.26","44","44","99","35.1","True","21.074","18.4825","18.7051","0.2225","3245183062098.71","FLOP/s","True","35","39","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","39.35","26.41","40.3","43","43","97.7","36.46","True","19.459","16.5754","16.8376","0.2622","3618570298880.0835","FLOP/s","True","31","36","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","44.74","30.55","45.86","43.7","44","98","41.12","True","17.667","14.9458","15.1641","0.2184","4013119974724.656","FLOP/s","True","28","33","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","50.92","26.49","53.6","44.6","45","98","46.33","True","16.095","13.4053","13.577","0.1717","4474289247774.309","FLOP/s","True","25","30","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","60.94","43.28","62.49","45.7","46","96.5","54.9","True","14.947","12.4897","12.6501","0.1604","4802279250736.915","FLOP/s","True","24","28","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","64.33","44.93","65.97","46.4","47","97.7","57.38","True","13.902","11.611","11.7387","0.1278","5165741531160.225","FLOP/s","True","22","26","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","72.21","53.15","74.2","47.8","49","98.5","63.79","True","12.899","10.7358","10.8621","0.1263","5586832471693.316","FLOP/s","True","20","24","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","86.07","70.49","88.55","50.4","52","99","75.16","True","12.375","9.9109","10.0538","0.1429","6051867082703.684","FLOP/s","True","18","23","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","98.92","55.03","103.58","52.8","54","98.6","85.37","True","11.791","9.3894","9.5184","0.129","6387965645273.024","FLOP/s","True","17","22","0x0000000000000400"
"2782","2746.6","2745","2752","13801","13801","13801","False","-35.4","below","113.19","75.1","117.1","55.8","57","95.6","97.31","True","11.224","8.958","9.0853","0.1273","6695612931980.171","FLOP/s","True","17","21","0x0000000000000400"
"2932","2747.1","2745","2752","13801","13801","13801","False","-184.9","below","111.98","53.38","117.5","56.1","57","99","95.99","True","11.224","8.9706","9.0975","0.1268","6686166898269.068","FLOP/s","True","17","21","0x0000000000000400"
"3090","2749.9","2745","2752","13801","13801","13801","False","-340.1","below","113.65","77.64","117.79","56.7","58","97.9","97.66","True","11.199","8.9671","9.0893","0.1222","6688825459799.2","FLOP/s","True","17","21","0x0000000000000400"
