"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","13151.4","810","13801","True","-1","none","56.83","12.04","62.54","43.8","44","94.4","51.02","True","12.378","10.4218","10.6004","0.1786","299364955616.15814","byte/s","True","20","23","0x0000000000000400"
"1395","1392.5","1387","1395","13117.3","810","13801","True","-2.5","none","58.46","12.43","64.33","43.7","44","94.1","52.29","True","11.782","9.8809","10.0273","0.1464","315752647047.61505","byte/s","True","19","22","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","60.98","14.89","66.2","43.6","44","97.2","54.29","True","11.37","9.4531","9.5869","0.1338","330040263470.2556","byte/s","True","18","21","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","66.25","21.34","71.23","43.9","44","94.9","59","True","11.365","9.2125","9.3402","0.1277","338661107392.8872","byte/s","True","17","21","0x0000000000000400"
"1852","1845","1845","1845","13036.8","810","13801","True","-7","none","70.68","15.64","76.89","44.2","45","88.7","62.98","True","11.286","9.1355","9.2942","0.1587","341515562606.50775","byte/s","True","17","21","0x0000000000000400"
"2010","2002","2002","2002","13036.8","810","13801","True","-8","none","74.81","17.27","83.1","45.2","46","93.4","66.87","True","11.367","9.1246","9.2821","0.1575","341923105531.3723","byte/s","True","17","21","0x0000000000000400"
"2167","2152.1","2145","2160","13801","13801","13801","True","-14.9","none","77.1","17.54","84.96","45.4","46","93.6","68.85","True","11.252","9.0603","9.1876","0.1273","344350454246.7562","byte/s","True","17","21","0x0000000000000400"
"2317","2310","2310","2310","13036.8","810","13801","True","-7","none","82.92","19.05","89.23","46.1","47","89.9","74.13","True","11.195","9.0919","9.2198","0.1279","343152908520.49774","byte/s","True","17","21","0x0000000000000400"
"2475","2467","2467","2467","13812.8","13801","14001","True","-8","none","87.65","22.47","96.26","47.4","48","93.4","78.63","True","11.253","9.0282","9.1573","0.1291","345572807747.19006","byte/s","True","17","21","0x0000000000000400"
"2625","2617","2617","2617","13401","7001","13801","True","-8","none","99.22","25.19","107.07","48.8","50","89.4","88.87","True","11.237","9.0305","9.1679","0.1374","345485064777.3027","byte/s","True","17","21","0x0000000000000400"
"2782","2749.6","2745","2760","13812.8","13801","14001","False","-32.4","below","104.26","27.28","114.69","50.6","52","93.4","93.66","True","11.22","9.033","9.1593","0.1264","345391772207.79144","byte/s","True","17","21","0x0000000000000400"
"2932","2748.4","2745","2760","13801","13801","13801","False","-183.6","below","106.85","39.1","115.36","51.2","52","95","95.8","True","11.228","9.0264","9.1653","0.1388","345640885255.58704","byte/s","True","17","21","0x0000000000000400"
"3090","2747.1","2745","2760","13401","7001","13801","False","-342.9","below","104.49","27.52","115.34","51.6","53","93.4","93.9","True","11.24","9.0407","9.1767","0.1361","345097099010.35706","byte/s","True","17","21","0x0000000000000400"
