"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.9","1230","1237","13467.9","810","13801","True","-1.1","none","60.04","12.44","62.61","48.6","49","94.6","56.77","True","23.055","20.4744","20.8235","0.3491","3946305982459.997","FLOP/s","True","39","43","0x0000000000000400"
"1395","1393.1","1387","1395","13801","13801","13801","True","-1.9","none","64.91","16.4","68.39","47.9","49","96.9","60.91","True","20.368","18.0438","18.343","0.2993","4477898504835.67","FLOP/s","True","34","38","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","69.94","20.54","73.52","48.1","49","98.1","65.02","True","18.737","16.2124","16.4348","0.2224","4983735082782.303","FLOP/s","True","31","35","0x0000000000000400"
"1702","1695","1695","1695","13808.1","13801","14001","True","-7","none","79.04","14.74","85.4","49.4","51","94.4","72.89","True","16.542","14.5663","14.7864","0.22","5546910367574.332","FLOP/s","True","28","31","0x0000000000000400"
"1852","1845","1845","1845","13281.4","810","13801","True","-7","none","91.99","16.16","105.31","51.3","53","93.3","84.43","True","15.503","13.049","13.2447","0.1957","6191924979694.865","FLOP/s","True","25","29","0x0000000000000400"
"2010","2002","2002","2002","13236.2","810","13801","True","-8","none","105.21","17.78","115.6","53.2","55","92.3","95.93","True","14.453","12.1416","12.3505","0.2089","6654666870034.272","FLOP/s","True","23","27","0x0000000000000400"
"2167","2151.4","2145","2160","13210.5","810","13801","True","-15.6","none","110.64","18.17","121.46","54.4","56","91.8","99.65","True","13.367","11.4399","11.6057","0.1659","7062870987066.003","FLOP/s","True","22","25","0x0000000000000400"
"2317","2310","2310","2310","13811","13801","14001","True","-7","none","126.98","20.53","139.65","56.8","59","94.3","113.11","True","12.855","10.4889","10.6415","0.1526","7703228519904.096","FLOP/s","True","20","24","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","150.15","23.95","164.9","60.2","63","94.1","132.93","True","11.735","9.7949","9.924","0.1291","8249025536536.953","FLOP/s","True","19","22","0x0000000000000400"
"2625","2530.3","2482","2617","13401","7001","13801","False","-94.7","below","167.26","26.29","183.24","62.1","65","89.3","147.65","True","11.257","9.1219","9.2489","0.127","8857601341468.77","FLOP/s","True","17","21","0x0000000000000400"
"2782","2581.4","2542","2760","13423.2","7001","13801","False","-200.6","below","164.49","28.79","180.58","63.1","66","93.7","146.77","True","11.704","9.4372","9.5586","0.1213","8561631189501.582","FLOP/s","True","18","22","0x0000000000000004;0x0000000000000400"
"2932","2561.8","2535","2685","13801","13801","13801","False","-370.2","below","169.24","58.86","181.07","63.6","66","95.1","150.31","True","11.733","9.4616","9.6013","0.1397","8539564635780.739","FLOP/s","True","18","22","0x0000000000000400"
"3090","2578.6","2542","2760","13423.2","7001","13801","False","-511.4","below","164.72","29.2","180.82","63.4","66","93.7","147.02","True","11.733","9.4578","9.5816","0.1238","8543021343533.824","FLOP/s","True","18","22","0x0000000000000004;0x0000000000000400"
