"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235","1230","1237","13182.4","810","13801","True","-2","none","46.98","11.86","51.73","39.4","40","93.1","42.82","True","13.413","11.0548","11.2272","0.1724","288743398319.04517","byte/s","True","21","25","0x0000000000000400"
"1395","1393.8","1387","1395","13801","13801","13801","True","-1.2","none","48.86","11.81","53.3","40.8","41","94.4","44.05","True","12.25","10.3963","10.553","0.1568","307033130586.95264","byte/s","True","20","23","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","51.04","13.47","55.32","42.2","43","96.7","46.19","True","12.292","9.8785","10.0027","0.1242","323126137673.3181","byte/s","True","19","23","0x0000000000000400"
"1702","1695","1695","1695","13079.3","810","13801","True","-7","none","53.35","13.65","58.96","43.5","44","92.4","48.22","True","11.745","9.4698","9.5997","0.1299","337072095053.7018","byte/s","True","18","22","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","59.23","21.16","63.61","44.8","45","96.5","53.07","True","11.284","9.2161","9.3576","0.1416","346352047064.4123","byte/s","True","17","21","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","64.46","30.56","68.14","46.5","47","94.9","57.96","True","11.217","9.1543","9.2866","0.1323","348690224696.6346","byte/s","True","17","21","0x0000000000000400"
"2167","2160","2160","2160","13812.8","13801","14001","True","-7","none","63.51","17.74","69.37","47.4","48","93.6","57.29","True","11.211","9.1422","9.2626","0.1205","349151496779.7961","byte/s","True","17","21","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","69.42","33.19","73.18","48.9","50","99.1","62.42","True","11.228","9.116","9.2359","0.1199","350153595335.25946","byte/s","True","17","21","0x0000000000000400"
"2475","2467","2467","2467","13812.8","13801","14001","True","-8","none","73.6","23.35","79.95","50.5","51","93.5","66.65","True","11.178","9.0951","9.2258","0.1307","350959481661.79443","byte/s","True","17","21","0x0000000000000400"
"2625","2617","2617","2617","13401","7001","13801","True","-8","none","82.73","25.9","89.39","52.4","53","91.9","74.49","True","11.282","8.9874","9.1251","0.1377","355163508845.5946","byte/s","True","17","21","0x0000000000000400"
"2782","2748.4","2745","2760","13401","7001","13801","False","-33.6","below","86.23","28.91","93.79","51.8","52","93.4","78.29","True","11.236","8.9954","9.1451","0.1497","354846538376.93134","byte/s","True","17","21","0x0000000000000400"
"2932","2752.5","2752","2760","13801","13801","13801","False","-179.5","below","87.5","39.44","93.29","50.8","51","95.8","79.23","True","11.232","9.0164","9.1431","0.1267","354022876066.5395","byte/s","True","17","21","0x0000000000000400"
"3090","2752.9","2752","2760","13401","7001","13801","False","-337.1","below","84.89","28.28","92.95","49.8","51","93.4","77.09","True","11.203","9.0225","9.1564","0.1338","353780885808.4451","byte/s","True","17","21","0x0000000000000400"
