"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.7","1230","1237","13801","13801","13801","True","-1.3","none","46.4","12.43","49.08","44","44","96.3","43.01","True","15.979","13.9846","14.1687","0.1841","246271172706.2802","byte/s","True","27","30","0x0000000000000400"
"1395","1393.4","1387","1395","13281.4","810","13801","True","-1.6","none","47.05","12.48","50.6","42.9","43","94.2","43.57","True","15.457","13.0641","13.2465","0.1824","263623256096.54626","byte/s","True","25","29","0x0000000000000400"
"1545","1537","1537","1537","13210.5","810","13801","True","-8","none","49.85","13.19","54.23","41.9","42","94.7","45.63","True","13.896","11.5791","11.7389","0.1598","297432078180.8605","byte/s","True","22","26","0x0000000000000400"
"1702","1695","1695","1695","13811.5","13801","14001","True","-7","none","54.79","14.38","59.97","41.9","42","94.2","49.42","True","12.424","10.092","10.2682","0.1762","341260346795.38367","byte/s","True","19","23","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","59.79","15.89","65.99","42.4","43","95.4","53.46","True","11.305","9.2985","9.4368","0.1383","370382578640.4939","byte/s","True","18","21","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","64.83","23","69.74","42.7","43","94.6","58.16","True","11.334","9.0642","9.2007","0.1365","379954228313.1364","byte/s","True","17","21","0x0000000000000400"
"2167","2160","2160","2160","13036.8","810","13801","True","-7","none","65.58","17.53","70.63","42.8","43","89.2","58.86","True","11.332","9.0418","9.1974","0.1556","380897945893.7586","byte/s","True","17","21","0x0000000000000400"
"2317","2310","2310","2310","13036.8","810","13801","True","-7","none","67.33","18.89","74.57","43.4","44","93.4","60.09","True","10.819","8.9576","9.0954","0.1379","384478933752.8132","byte/s","True","17","20","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","73.43","22.43","80.22","44","45","93.4","66.36","True","11.258","8.9669","9.106","0.1392","384079940016.3216","byte/s","True","17","21","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","82.66","38.86","87.52","45.2","46","98.9","74.4","True","11.166","8.9858","9.1135","0.1277","383272752905.11536","byte/s","True","17","21","0x0000000000000400"
"2782","2753.4","2752","2775","13812.8","13801","14001","True","-28.6","none","85.77","26.95","92.98","46.1","47","93.4","77.63","True","11.232","8.9311","9.0485","0.1174","385616862752.0496","byte/s","True","17","21","0x0000000000000400"
"2932","2752.9","2752","2760","13801","13801","13801","False","-179.1","below","87.45","39.94","93.24","46.6","47","96","78.76","True","11.225","8.9433","9.0761","0.1328","385094098760.524","byte/s","True","17","21","0x0000000000000400"
"3090","2752.9","2752","2760","13401","7001","13801","False","-337.1","below","85.76","27.17","93.83","46.8","48","93.4","76.98","True","10.78","8.8779","9.0067","0.1288","387929079805.7502","byte/s","True","17","20","0x0000000000000400"
