"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.7","1230","1237","13801","13801","13801","True","-0.3","none","54.86","21.4","57.78","44","44","97.3","50.05","True","13.86","11.5825","11.739","0.1566","165452167412.6353","FLOP/s","True","22","26","0x0000000000000400"
"1395","1393.1","1387","1395","13182.4","810","13801","True","-1.9","none","56.16","12.58","59.81","43.5","44","92.1","50.77","True","12.849","10.9371","11.1032","0.1661","175215259163.0518","FLOP/s","True","21","24","0x0000000000000400"
"1545","1537","1537","1537","13117.3","810","13801","True","-8","none","56.57","13.1","61.81","42.9","44","94.1","51.11","True","12.385","10.2898","10.4683","0.1785","186237879224.02063","FLOP/s","True","19","23","0x0000000000000400"
"1702","1695","1695","1695","13812.1","13801","14001","True","-7","none","61.63","14.48","67.16","43.3","44","93.8","55.46","True","11.884","9.8356","9.9766","0.141","194837238843.72037","FLOP/s","True","18","22","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","65.99","16.24","71.68","43.7","44","95.7","59.36","True","11.84","9.567","9.7213","0.1542","200307109479.96588","FLOP/s","True","18","22","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","73.19","24.6","78.52","44.6","45","95.8","65.74","True","11.704","9.4431","9.5716","0.1285","202935780092.0748","FLOP/s","True","18","22","0x0000000000000400"
"2167","2152.4","2152","2160","13079.3","810","13801","True","-14.6","none","73.03","17.57","80.08","44.6","45","93.7","65.09","True","11.211","9.3424","9.4607","0.1184","205123894403.04688","FLOP/s","True","18","21","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","79.81","29.3","86","45.5","46","94.9","71.34","True","11.292","9.1508","9.3081","0.1573","209418101304.20215","FLOP/s","True","17","21","0x0000000000000400"
"2475","2467","2467","2467","13401","7001","13801","True","-8","none","84.44","22.19","93.2","46.5","48","93.4","75.68","True","11.325","9.0495","9.1953","0.1458","211762999573.9074","FLOP/s","True","17","21","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","93.93","25.03","102.42","48.1","49","93.4","84.39","True","11.282","8.9664","9.1025","0.1361","213724229216.7384","FLOP/s","True","17","21","0x0000000000000400"
"2782","2752.5","2752","2760","13801","13801","13801","True","-29.5","none","102.96","36.34","110.86","49.6","51","95.7","91.61","True","10.766","8.9207","9.0607","0.14","214820350166.0041","FLOP/s","True","17","20","0x0000000000000400"
"2932","2752.1","2745","2760","13401","7001","13801","False","-179.9","below","101.26","27.15","111.28","50.1","51","93.4","90.16","True","10.797","8.9211","9.0434","0.1223","214811040787.7918","FLOP/s","True","17","20","0x0000000000000400"
"3090","2750.4","2745","2760","13801","13801","13801","False","-339.6","below","102.04","27.66","111.29","50.5","52","93.5","90.86","True","10.766","8.938","9.0735","0.1355","214402875474.05432","FLOP/s","True","17","20","0x0000000000000400"
