"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","13801","13801","13801","True","-0.8","none","53.78","22.89","56.73","47.7","48","97.9","49.61","True","20.896","17.9734","18.2361","0.2627","7340919077194.047","FLOP/s","True","34","39","0x0000000000000400"
"1395","1388.3","1387","1395","13801","13801","13801","True","-6.7","none","57.26","23.64","59.97","46.9","48","96.5","52.17","True","18.644","15.9212","16.0999","0.1787","8287176309583.662","FLOP/s","True","31","35","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","65.06","36.71","68.54","47.4","48","98","58.66","True","17.204","14.3203","14.5284","0.208","9213566154148.176","FLOP/s","True","27","32","0x0000000000000004;0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","72.17","28.46","77.14","48.8","50","97.5","64.32","True","15.639","12.6955","12.8991","0.2035","10392758327367.03","FLOP/s","True","24","29","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","89.57","59.98","94.15","50.9","52","99.1","78.65","True","13.957","11.5427","11.6748","0.1321","11430764923738.514","FLOP/s","True","22","26","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","104","69.59","109.29","53.4","55","96.6","90.25","True","13.293","10.762","10.8782","0.1162","12259951005232.303","FLOP/s","True","20","25","0x0000000000000400"
"2167","2153.7","2152","2160","13801","13801","13801","True","-13.3","none","110.95","47.3","118.14","54.4","56","97.9","94.77","True","12.371","10.0825","10.206","0.1235","13086225934080.621","FLOP/s","True","19","23","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","122.8","65.58","130.22","56.9","59","99","104.33","True","11.748","9.2546","9.3788","0.1242","14256838424143.156","FLOP/s","True","17","22","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","152.76","107.57","163.05","61.9","65","99.1","128.93","True","11.215","8.6139","8.7305","0.1166","15317315882636.064","FLOP/s","True","16","21","0x0000000000000400"
"2625","2562.7","2527","2610","13801","13801","13801","False","-62.3","below","172.08","86.58","182.04","65.4","68","96.1","143.21","True","10.744","8.1076","8.1995","0.0919","16273759799814.271","FLOP/s","True","15","20","0x0000000000000004;0x0000000000000400"
"2782","2573.3","2557","2610","13801","13801","13801","False","-208.7","below","175.42","120.88","182.84","66.1","68","97.7","146.9","True","10.698","8.2497","8.3722","0.1226","15993570266442.098","FLOP/s","True","15","20","0x0000000000000400"
"2932","2572.3","2535","2647","13801","13801","13801","False","-359.7","below","171.87","82.58","180.42","66.4","68","99.3","143.58","True","10.715","8.1999","8.3322","0.1323","16090568298997.246","FLOP/s","True","15","20","0x0000000000000004;0x0000000000000400"
"3090","2579.2","2565","2655","13801","13801","13801","False","-510.8","below","176.08","129.15","182.63","66.8","69","97.1","148.48","True","10.636","8.2885","8.4167","0.1282","15918650659618.984","FLOP/s","True","15","20","0x0000000000000400"
