"iteration","workload","phase_elapsed_s","throughput","unit","duration_s","temp_start_c","temp_peak_c","aborted","in_soak"
"1","gemm","57.9","18015450158269.03","FLOP/s","54.9284","41.0","71.0","False","True"
"2","gemm","115.7","18021465490083.312","FLOP/s","54.9101","52.0","74.0","False","True"
"3","gemm","173.7","17979555650815.17","FLOP/s","55.0381","54.0","75.0","False","True"
"4","gemm","231.6","17994162126708.902","FLOP/s","54.9934","55.0","75.0","False","True"
"5","gemm","289.4","17991602498542.984","FLOP/s","55.0012","56.0","76.0","False","True"
"6","gemm","347.3","17987704225829.195","FLOP/s","55.0132","56.0","76.0","False","False"
"7","gemm","405.2","17990555929742.574","FLOP/s","55.0044","57.0","76.0","False","False"
"8","gemm","463.1","17984611089683.98","FLOP/s","55.0226","57.0","77.0","False","False"
"9","gemm","520.9","17999855180475.39","FLOP/s","54.976","57.0","77.0","False","False"
"10","gemm","578.8","18001512205599.793","FLOP/s","54.971","57.0","77.0","False","False"
"11","gemm","636.7","17973337816549.836","FLOP/s","55.0571","57.0","77.0","False","False"
"12","gemm","694.7","17960703927250.043","FLOP/s","55.0959","57.0","77.0","False","False"
"13","gemm","752.6","17980292724631.977","FLOP/s","55.0358","57.0","78.0","False","False"
"14","gemm","810.5","17985001857488.32","FLOP/s","55.0214","58.0","77.0","False","False"
"15","gemm","868.5","17964329831673.707","FLOP/s","55.0847","58.0","77.0","False","False"
"16","gemm","926.5","17957584320429.32","FLOP/s","55.1054","58.0","77.0","False","False"
"17","membw","56.2","421693877183.6601","byte/s","53.4714","58.0","59.0","False","True"
"18","membw","112.1","423036045753.8924","byte/s","53.3018","50.0","54.0","False","True"
"19","membw","167.8","424485661009.45703","byte/s","53.1198","49.0","53.0","False","True"
"20","membw","223.5","423551392753.15234","byte/s","53.2369","49.0","52.0","False","True"
"21","membw","279.3","424458254884.3006","byte/s","53.1232","49.0","53.0","False","True"
"22","membw","335","424321286106.28937","byte/s","53.1403","49.0","53.0","False","False"
"23","membw","390.7","424260824937.0134","byte/s","53.1479","49.0","53.0","False","False"
"24","membw","446.5","423465422097.27167","byte/s","53.2477","49.0","53.0","False","False"
"25","membw","502.3","423927719537.97504","byte/s","53.1897","49.0","53.0","False","False"
"26","membw","557.9","425311493568.6614","byte/s","53.0166","49.0","53.0","False","False"
"27","membw","613.6","424349268701.81116","byte/s","53.1368","49.0","53.0","False","False"
"28","membw","669.3","425035645331.3887","byte/s","53.051","50.0","53.0","False","False"
"29","membw","725","424670150308.7129","byte/s","53.0967","49.0","53.0","False","False"
"30","membw","780.7","424721312822.29254","byte/s","53.0903","50.0","53.0","False","False"
"31","membw","836.3","424980521500.1788","byte/s","53.0579","50.0","53.0","False","False"
"32","membw","891.9","425184350373.2849","byte/s","53.0325","50.0","53.0","False","False"
"33","membw","947.6","425478280930.53455","byte/s","52.9958","50.0","53.0","False","False"
