"iteration","workload","phase_elapsed_s","throughput","unit","duration_s","temp_start_c","temp_peak_c","aborted","in_soak"
"1","gemm","84.9","15746317520575.955","FLOP/s","62.8439","38.0","71.0","False","True"
"2","gemm","151.4","15651346188699.932","FLOP/s","63.2253","50.0","72.0","False","True"
"3","gemm","218.2","15606566451364.5","FLOP/s","63.4067","52.0","73.0","False","False"
"4","gemm","285","15592701252753.182","FLOP/s","63.4631","53.0","74.0","False","False"
"5","gemm","352.9","15334284961639.854","FLOP/s","64.5325","54.0","75.0","False","False"
"6","membw","65.8","359855134732.96655","byte/s","62.6602","54.0","57.0","False","True"
"7","membw","131.5","359629554694.8279","byte/s","62.6995","48.0","53.0","False","True"
"8","membw","197.8","356373146760.1851","byte/s","63.2724","48.0","53.0","False","False"
"9","membw","263.2","361151023949.3299","byte/s","62.4353","48.0","54.0","False","False"
"10","membw","328.5","361570764162.19385","byte/s","62.3628","48.0","54.0","False","False"
