"iteration","workload","phase_elapsed_s","throughput","unit","duration_s","temp_start_c","temp_peak_c","aborted","in_soak"
"1","gemm","9.4","18264556736287.438","FLOP/s","7.2239","36.0","61.0","False","True"
"2","gemm","18.9","18197264248465.81","FLOP/s","7.2506","41.0","63.0","False","True"
"3","gemm","28.3","18151811974131.39","FLOP/s","7.2688","43.0","64.0","False","True"
"4","gemm","37.7","18146817136811.78","FLOP/s","7.2708","45.0","65.0","False","True"
"5","gemm","47.2","18172139957037.582","FLOP/s","7.2606","46.0","67.0","False","True"
"6","gemm","56.5","18228429444412.504","FLOP/s","7.2382","47.0","68.0","False","True"
"7","gemm","66","18207567347776.44","FLOP/s","7.2465","48.0","69.0","False","False"
"8","gemm","75.4","18180957944065.902","FLOP/s","7.2571","49.0","69.0","False","False"
"9","gemm","84.8","18212662560427.164","FLOP/s","7.2445","49.0","69.0","False","False"
"10","gemm","94.3","18153230263013.785","FLOP/s","7.2682","49.0","70.0","False","False"
"11","gemm","103.7","17982245403064.254","FLOP/s","7.3373","50.0","70.0","False","False"
"12","gemm","113.1","18071247589529.234","FLOP/s","7.3012","51.0","71.0","False","False"
"13","gemm","122.5","18132356188217.035","FLOP/s","7.2766","51.0","71.0","False","False"
"14","gemm","131.9","18173160667809.04","FLOP/s","7.2602","51.0","71.0","False","False"
"15","gemm","141.3","18241375183987.78","FLOP/s","7.2331","51.0","71.0","False","False"
"16","gemm","150.7","18189353431183.812","FLOP/s","7.2538","51.0","72.0","False","False"
"17","gemm","160.2","18139795761729.68","FLOP/s","7.2736","52.0","71.0","False","False"
"18","gemm","169.6","18117719237677.926","FLOP/s","7.2825","52.0","72.0","False","False"
"19","gemm","179","18220305318908.184","FLOP/s","7.2414","52.0","72.0","False","False"
"20","gemm","188.4","18153468539304.152","FLOP/s","7.2681","52.0","72.0","False","False"
"21","membw","11.1","421879549028.45905","byte/s","9.1625","52.0","55.0","False","True"
"22","membw","22.1","423682668855.2706","byte/s","9.1235","49.0","53.0","False","True"
"23","membw","33.1","424469338338.291","byte/s","9.1066","48.0","52.0","False","True"
"24","membw","44","424564040791.9763","byte/s","9.1046","48.0","51.0","False","True"
"25","membw","55","425570693368.4791","byte/s","9.083","47.0","51.0","False","True"
"26","membw","65.9","425246387234.4493","byte/s","9.09","47.0","51.0","False","False"
"27","membw","76.9","424573782439.89484","byte/s","9.1044","47.0","51.0","False","False"
"28","membw","87.8","425972573306.78723","byte/s","9.0745","47.0","51.0","False","False"
"29","membw","98.8","423891899033.273","byte/s","9.119","47.0","50.0","False","False"
"30","membw","109.8","424361889440.95795","byte/s","9.1089","47.0","50.0","False","False"
"31","membw","120.7","423473004905.1867","byte/s","9.128","47.0","50.0","False","False"
"32","membw","131.7","422989279232.7033","byte/s","9.1385","47.0","50.0","False","False"
"33","membw","142.7","423962423054.1228","byte/s","9.1175","47.0","50.0","False","False"
"34","membw","153.7","423286964038.59564","byte/s","9.132","47.0","50.0","False","False"
"35","membw","164.6","425248955582.7368","byte/s","9.0899","47.0","51.0","False","False"
"36","membw","175.6","425569072246.9836","byte/s","9.0831","47.0","51.0","False","False"
"37","membw","186.5","423608231587.49036","byte/s","9.1251","47.0","51.0","False","False"
